名稱
聖得福建設開發台北市大同區雙連段三小段寧夏案新建大樓行人風場量測與分析
企業能源管理節能系統試點示範專案
「個人化虛擬健管師助理服務系統(II)」專題委託研究
104年度智慧財產專業人員培訓計畫
104年度產業人才投資計畫
結合行動裝置感測器之室內導航研究計畫
「超輕量6XXX系鋁合金自行車跑車車架研製計畫」合作研究「新型高強度鋁合金管材研究開發」
護具創新設計及驗證確效
鐵道周邊亮點與服務機能提升計畫─沿線場站與公有土地活化開發規劃案
阿公店水庫運用規線檢討
「組織型溫室氣體盤查與產品碳足跡」建置工作
X光機軟體開發與結構分析案
高雄市土壤及地下水含氯污染補充調查與管理流程研擬計畫-地下水污染傳輸與模擬分析研究
拖曳飛行傘體驗活動
拖曳飛行傘體驗活動
利用生物相容性水膠混合週邊血細胞治療心血管疾病臨床前試驗最適化設計
營運管理諮詢服務-南極霸文創樂活鋪
流體化床均相磷酸亞鐵結晶除磷技術開發
基於貝式選模法之因子篩選技術研究勞務委託(採購單號︰3000421530)
國泰人壽高鐵桃園車站特定區產專區二期工程綠建築標章評估委託服務
新興醫療器材暨人因工程應用之評估管理研究(案號︰104TFDA-JFDA-201)
Evaluation　of　the　ability　of　SANACORE&reg;　GM　to　prevent　AHPND　by　blocking　the　bacterial　quorum　sensing　signaling　pathway
壓克力共聚物反應動力最適化開發計畫
壓克力共聚物技術移轉
社群資料處理之圖像式處理技術全面考察與基礎函式庫建置勞務委託(採購單號:3000421897)
透明聚醯亞胺導電薄膜材料之開發研究(II)
大成長城肉品事業處生產流程改善計劃
臺灣本土天然類比案例之探討與分析(1042001INER039)
104年度市售農產品殘留農藥風險監測研究(案號︰104TFDA-AC-301)
義大癌治療醫院新建工程綠建築標章評估服務
103年度「黑心油品及食品中戴奧辛檢驗」(103TFDA─A-127)
協助傳統產業技術開發計畫─新一代不可移標之離膜雷射防偽標籤開發計畫
銀髮人才發展與就業服務整合計畫業務委外計畫-非營利組織社區銀髮人力量/能之研究
卡洛塔妮即溶羊奶粉免疫功效之動物實驗評估
行動裝置定位定向系統開發與驗測
蘆葦與劍研討會─臺南市產業創意行動論壇與總體規劃
企業社會責任(CSR)報告書輔導計畫書
104年度「藥品藥理治療分類代碼編訂計畫」
實際受柴油污染土壤場址驗證受衰變效應之影響
鋁合金板表面鉻酸鹽膜厚試驗分析
不受高頻效應影響之藍相液晶畫素電路設計
以分子檢驗技術進行分析胎兒基因疾病預防計畫
台灣地震網應用於大規模崩塌偵測及崩塌發生之降雨條件分析
多波段雷射治療儀在足底筋膜炎的臨床療效研究計畫
璨揚企業股份有限公司實施企業社會責任(CSR)報告書G4.0版輔導
Optimum　solder　alloy　path-finding
Bias　reliability　test　corrosion　effect　of　coated　Cu　wire　on　Al　pad　bonding
Die　surface　Analysis　and　Relationship　between　Compound　and　Die　Surface
Vapor　Grown　Carbon　Fiber　(VGCF)　Epoxy　Composite　for　Thermal　Management
Effect　of　IMC　formation　on　solder　joint　reliability　under　different　substrate　surface　finishes　(OSP/ENEPIG/EPIG/ENIG)
Process　and　Analysis　for　WLCSP　Singulation(Laser　Grooving)雷射溝漕化製程與分析For　Low　k　Wafer(40/65nm)
大鵬灣風景區104年度海岸氣象資訊整合計畫
流域特定區域計畫之規劃
「屏東縣縣定古蹟九如三山國王廟修復工程案」終止契約後之清算資料委託審查勞務案
高雄港蓬萊商港區及其周邊地區空間歷史性(文化景觀)資源調查研究
「高雄市南星計畫遊艇產業園區」委託公民營事業開發─港池靜穩數值模擬計畫
10KW同步磁阻馬達共同開發
3D列印支撐演算法驗證
液態菌種製作固態食用菌菌種瓶
「104年度委託科技計畫－乙類」-食品中危害物質風險管理策略之研析
「104年度委託科技計畫－丙類」-2015年食品中戴奧辛調查研究與風險評估
103年度宜蘭縣南方澳抹香鯨標本製作與組裝安置採購案
嘉義縣住宅年度及中程計畫案
中鋼集團離岸風場海事施工教育訓練
工業區土壤及地下水採樣監測調查計畫
第三座液化天然氣接收站可行性研究及環評工作－海流數值模擬計算
PMP國際專案管理師證照輔考培訓班
鋁合金烤漆板檢測
104年度「太陽熱能利用與補助作業計畫」(1/2) (案號:104-D0303)
「臺中港外港區圍堤造地工程細部規劃暨水陸域設施(備)通盤檢討及規劃」之海岸地形變遷相關研究技術服務
法定容積對中西區歷史街區之衝擊先期研究
京元電子股份有限公司優質企業(AEO)制度暨ISO28000供應鏈安全管理系統輔導建置
地下水含氯化合物生物整治添加藥劑研發II
現地氧化處理後之菌種鑑定及生長條件探討委託研究
高階6082擠型鋁合金材料研製
104年度資料浮標維護與資訊管理作業
台南市永成路轉爐石密級配瀝青混凝土鋪面成效評估
國道6號多孔隙瀝青混凝土鋪面檢測評估(104)
李長榮化學工業股份有限公司企業社會責任(ＣSR)報告書
設備元件洩露檢測暨維修管理系統規劃評析
非莫拉克受災區域之地質敏感特性分析(3/3)
台電系統採用電力系統控制效能標準(CPS)之效益與影響分析(契約編號︰TPC-5460300124)
台日鋰電池材料與安全研討會
電動腳踏車之直流無刷馬達驅動技術研究
瀝青混凝土成效試驗規範之可行性研究
運動及復健器材顧問案
全國地下水管理及資源整合計畫-綜整地下水資源調查現況與歷年成果及評析水質與水量之保育工作
實驗火箭設計與製作研習活動
業務拓展費
104-105年環境危害之健康影響及健康照護計畫
穩定同位素分析培訓計畫
建構機台生產排程系統之研究
「藥物發展規劃」合作研究計畫
企業跨廠區物流對接與供應鏈持續改善
厭氧氨氧化技術應用在煉焦廠廢水之氨氮處理技術開發(二)
卑南文化公園-西入口服務站綠建築標章證書評估服務
海嘯浪高波傳機率模型之建置研究(計畫編號︰1042001INER034)
生物資材開發系統建置
台灣莫仕股份有限公司實施優質企業(AEO)制度輔導建置計畫
嚴慶齡工業發展基金會104年度專題研究計畫
國際護理人才交流培訓研習
長效殺菌塗層材料
新式高效率節能水洗塔開發計畫
MBR系統高通量菌相鑑定分析
104年海象資料庫處理應用系統維護
海嘯波浪於廠區效應機率評估方法建置(計畫編號︰1042001INER035)
歷史建築臺灣銀行彰化日式宿舍群調查研究及修復計畫
證券評價分析班
餐飲產業服務人才培育方案設計
廢水處理專責人員訓練計畫
台南園區污水處理廠生物除氮程序可行性分析及效能評估計畫
「高雄機場跑道整建工程委託規劃、設計暨監造」-機場柔性道面研究、施工規範擬訂、瀝青拌合廠產能與設備提升、道面養護機制/手冊建立及道面施工諮詢委託技術服務工作
廢熱發電之史特靈引擎技術研究
彰化縣已申報納管水井監驗及教育訓練委託服務一案
「大寮都市計畫細部計畫環境影響評估」民意調查
燦通-建築用防火門技術研發專案
脫硝SCR觸媒之資源化回收─模廠離子交換樹脂試量產(RE104601)
煉鋼爐石於工程材料之應用研究—第二階段
煉鋼爐石於工程材料之應用研究-第二階段
104年度曾文水庫集水區巡查管理暨衛星監測計畫
104年度高屏溪流域河川水質採樣檢測分析工作計畫
104-105年度廢棄物清理專業技術人員訓練計畫
104年度曾文、牡丹、阿公店、高屏溪、甲仙攔河堰水質檢驗分析計畫(契約編號︰MOEAWRA1040287)
「南星計畫中程計畫第12期暨各掩埋場環境品質監測計畫」之海域水文調查工作
通霄電廠更新擴建計畫:循環水泵及附屬設備製造安裝工程--進水口結構模型測試
空氣污染防制專責人員訓練計畫
中龍脫硫石膏作為CLSM材料之現地鋪築試驗
製造業節能減碳服務團計畫之耗能設備效率提升輔導分包計畫
104年度「太陽熱能利用與補助作業計畫」(1/2)(案號：104─D0303)
104至105年度環境用藥專業技術人員訓練計畫
缺陷成因分析程式模組開發勞務委託(採購單號︰3000426063)
台灣地區北部區域雙溪水庫可行性規劃檢討(5)-工程專題-強地動儀維護觀測及分析(案號︰103074)
後龍溪水資源環境觀測及調查計畫(2)-強地動儀維護觀測及資料整理(2/2)
古蹟、歷史建築石材調查記錄方法研究（第2年）
士林靈糧堂大直會堂新建工程綠建築工程專案管理
隘寮溪、林邊溪、士文溪及牡丹水庫水資源聯合運用規劃(案號︰103064)
